Team,OSHOT MP,OSHOT FG%,OSHOT Dist.,OSHOT 2P %OF,OSHOT 0-3 %OF,OSHOT 3-10 %OF,OSHOT 10-16 %OF,OSHOT 16-3P %OF,OSHOT 3P %OF,OSHOT 2P FG%,OSHOT 0-3 FG%,OSHOT 3-10 FG%,OSHOT 10-16 FG%,OSHOT 16-3P FG%,OSHOT 3P FG%,OSHOT 2P AST,OSHOT 3P AST,OSHOT %FGA DUNK,OSHOT Md. DUNK,OSHOT %FGA LAY,OSHOT Md. LAY,OSHOT %3PA CORN,OSHOT 3P% CORN
Atlanta Hawks,19855,0.486,13.2,0.629,0.298,0.173,0.099,0.059,0.371,0.562,0.689,0.443,0.458,0.443,0.356,0.501,0.841,0.071,476,0.285,1204,0.246,0.384
Boston Celtics,19980,0.463,14.4,0.626,0.199,0.231,0.11,0.086,0.374,0.534,0.691,0.469,0.439,0.464,0.345,0.468,0.775,0.051,346,0.267,1088,0.187,0.36
Brooklyn Nets,19730,0.463,13.3,0.636,0.267,0.212,0.093,0.064,0.364,0.518,0.679,0.406,0.403,0.385,0.367,0.478,0.798,0.056,377,0.288,1126,0.249,0.406
Chicago Bulls,19905,0.468,14.4,0.574,0.273,0.162,0.08,0.059,0.426,0.55,0.685,0.434,0.437,0.391,0.357,0.534,0.855,0.06,394,0.262,1086,0.255,0.346
Charlotte Hornets,19830,0.477,13.6,0.62,0.28,0.188,0.088,0.063,0.38,0.55,0.677,0.432,0.471,0.446,0.357,0.502,0.859,0.065,408,0.284,1154,0.253,0.405
Cleveland Cavaliers,19880,0.468,13.6,0.634,0.276,0.184,0.11,0.064,0.366,0.525,0.66,0.419,0.423,0.423,0.368,0.492,0.83,0.058,348,0.267,1030,0.264,0.408
Dallas Mavericks,19930,0.485,13.5,0.633,0.25,0.206,0.109,0.067,0.367,0.562,0.717,0.46,0.468,0.451,0.352,0.503,0.854,0.054,347,0.267,1134,0.26,0.379
Denver Nuggets,19755,0.478,13.7,0.622,0.231,0.24,0.091,0.061,0.378,0.559,0.749,0.458,0.444,0.408,0.344,0.527,0.85,0.058,388,0.283,1225,0.256,0.358
Detroit Pistons,19805,0.489,13.6,0.622,0.245,0.234,0.083,0.06,0.378,0.568,0.723,0.49,0.421,0.437,0.36,0.523,0.792,0.068,439,0.281,1201,0.255,0.387
Golden State Warriors,19830,0.469,14.5,0.607,0.163,0.28,0.094,0.069,0.393,0.536,0.703,0.504,0.431,0.415,0.364,0.506,0.837,0.053,357,0.262,1089,0.234,0.372
Houston Rockets,19755,0.482,14.9,0.56,0.217,0.204,0.082,0.056,0.44,0.567,0.741,0.48,0.435,0.399,0.374,0.511,0.817,0.07,435,0.255,1114,0.216,0.377
Indiana Pacers,19755,0.485,13.3,0.627,0.285,0.196,0.093,0.053,0.373,0.551,0.67,0.475,0.437,0.398,0.373,0.52,0.831,0.073,459,0.294,1205,0.272,0.402
Los Angeles Clippers,19830,0.474,13.9,0.622,0.226,0.23,0.104,0.062,0.378,0.539,0.716,0.441,0.463,0.388,0.365,0.509,0.811,0.058,372,0.262,1085,0.222,0.381
Los Angeles Lakers,19880,0.469,14.1,0.611,0.227,0.213,0.104,0.068,0.389,0.548,0.711,0.451,0.461,0.439,0.344,0.491,0.816,0.052,353,0.255,1151,0.212,0.389
Memphis Grizzlies,19780,0.453,14.1,0.593,0.266,0.178,0.088,0.06,0.407,0.521,0.651,0.421,0.398,0.421,0.355,0.551,0.857,0.065,417,0.256,1024,0.194,0.409
Miami Heat,19805,0.482,14.9,0.57,0.214,0.202,0.101,0.054,0.43,0.569,0.731,0.503,0.453,0.385,0.367,0.534,0.851,0.05,321,0.236,984,0.285,0.404
Milwaukee Bucks,19830,0.456,14.3,0.634,0.217,0.195,0.142,0.08,0.366,0.514,0.691,0.415,0.452,0.389,0.354,0.481,0.771,0.049,313,0.244,1034,0.187,0.382
Minnesota Timberwolves,19830,0.471,13.6,0.625,0.263,0.193,0.108,0.062,0.375,0.532,0.699,0.408,0.437,0.374,0.369,0.502,0.83,0.06,384,0.279,1122,0.227,0.364
New Orleans Pelicans,19855,0.472,14.5,0.584,0.235,0.2,0.085,0.063,0.416,0.567,0.75,0.468,0.407,0.417,0.339,0.515,0.83,0.061,409,0.266,1144,0.239,0.38
New York Knicks,19955,0.462,14.4,0.586,0.258,0.167,0.098,0.063,0.414,0.537,0.666,0.417,0.468,0.431,0.357,0.511,0.842,0.048,308,0.257,1051,0.246,0.381
Oklahoma City Thunder,19855,0.474,14.1,0.593,0.246,0.208,0.083,0.055,0.407,0.553,0.694,0.452,0.483,0.414,0.358,0.508,0.868,0.059,377,0.282,1152,0.272,0.361
Orlando Magic,19780,0.476,14.8,0.575,0.226,0.186,0.098,0.064,0.425,0.567,0.736,0.471,0.478,0.39,0.351,0.535,0.824,0.065,426,0.241,1031,0.256,0.401
Philadelphia 76ers,19880,0.473,14.2,0.61,0.261,0.177,0.096,0.075,0.39,0.553,0.725,0.427,0.423,0.414,0.348,0.51,0.822,0.055,356,0.264,1086,0.231,0.371
