Team,OPOS MP,OPOS FG,OPOS FGA,OPOS FG%,OPOS 3P,OPOS 3PA,OPOS 3P%,OPOS 2P,OPOS 2PA,OPOS 2P%,OPOS FT,OPOS FTA,OPOS FT%,OPOS ORB,OPOS DRB,OPOS TRB,OPOS AST,OPOS STL,OPOS BLK,OPOS TOV,OPOS PF,OPOS PTS
Cleveland Cavaliers,19880,40.4,86.4,0.468,11.7,31.6,0.368,28.7,54.7,0.525,18.1,23.2,0.782,10.1,32.5,42.7,23.8,7.3,4.5,16.2,21.1,110.6
Memphis Grizzlies,19780,40.1,88.4,0.453,12.8,36,0.355,27.3,52.4,0.521,18.2,23.2,0.787,10.8,32.9,43.7,26,6.7,5.1,14.9,19.7,111.2
Boston Celtics,19980,41.8,90.2,0.463,11.6,33.7,0.345,30.1,56.5,0.534,16.2,21.1,0.769,9.7,34.3,44,23.1,6.6,3.9,12.7,19.1,111.5
Milwaukee Bucks,19830,41.9,92,0.456,11.9,33.7,0.354,30,58.3,0.514,16.1,20.7,0.776,10.6,33,43.6,23.6,7,3.9,11.7,18.7,111.9
Chicago Bulls,19905,40.9,87.4,0.468,13.3,37.2,0.357,27.6,50.2,0.55,17.2,22.1,0.779,9.7,33.8,43.5,26.1,6.7,4.8,15.1,18.8,112.2
New Orleans Pelicans,19855,41,86.7,0.472,12.2,36,0.339,28.7,50.7,0.567,18.4,23.6,0.779,9.7,32.1,41.8,24.9,7.3,4.7,15,20.4,112.5
Phoenix Suns,19780,40.5,87,0.466,11.6,32.5,0.357,28.9,54.6,0.53,20.4,26,0.786,10.4,33.1,43.4,23.7,7.3,4,14.6,20.1,113
Miami Heat,19805,41.4,85.9,0.482,13.6,36.9,0.367,27.8,49,0.569,17,21.8,0.781,9.2,34,43.2,26.4,7.2,3.9,16.2,20.7,113.3
Philadelphia 76ers,19880,41.3,87.3,0.473,11.9,34.1,0.348,29.4,53.2,0.553,18.9,24.2,0.781,9.7,32.3,42.1,24.7,6.7,4.7,14.6,20,113.3
Minnesota Timberwolves,19830,41.1,87.2,0.471,12.1,32.7,0.369,29,54.5,0.532,19.6,25.6,0.766,11.1,32.8,43.9,24.6,8.1,4,15.1,19.8,113.8
Los Angeles Lakers,19880,43,91.7,0.469,12.3,35.6,0.344,30.7,56.1,0.548,15.7,20.3,0.773,10.8,33,43.8,25.1,7.4,5,12.3,21,113.9
Toronto Raptors,19805,41.3,84.3,0.491,12.5,33.4,0.374,28.8,50.9,0.567,18.8,23.6,0.797,9.4,33.8,43.3,26.8,6.1,4.7,17.1,20,114
Brooklyn Nets,19730,41.6,89.8,0.463,12,32.7,0.367,29.6,57.1,0.518,19,24.8,0.767,11.7,34.1,45.8,23.7,7.1,3.9,13.9,18.8,114.1
Denver Nuggets,19755,42.4,88.7,0.478,11.6,33.6,0.344,30.8,55.2,0.559,17.9,23,0.775,10.3,31.1,41.5,26.1,8,4.3,13.7,19.8,114.2
Orlando Magic,19780,41.4,87.1,0.476,13,37,0.351,28.4,50.1,0.567,18.4,23.1,0.796,9.5,32.6,42.1,25.9,7.7,5.1,14.7,20.5,114.2
Oklahoma City Thunder,19855,41.1,86.7,0.474,12.7,35.3,0.358,28.4,51.4,0.553,19.3,25,0.771,11.7,34,45.7,25.4,6.8,5.4,16.4,20,114.2
Golden State Warriors,19830,41.4,88.4,0.469,12.6,34.7,0.364,28.8,53.7,0.536,18.9,24.6,0.769,10.5,31.8,42.3,25.1,7.7,3.9,14,18,114.4
Los Angeles Clippers,19830,42.4,89.5,0.474,12.4,33.8,0.365,30,55.6,0.539,17.5,22.6,0.771,10.4,33.3,43.7,25.3,7.9,4.2,13.2,19.8,114.5
New York Knicks,19955,41.4,89.5,0.462,13.2,37.1,0.357,28.2,52.5,0.537,18.8,24.1,0.782,10.3,32.4,42.7,25.5,6.1,4.6,12.9,21,114.8
Charlotte Hornets,19830,42.3,88.7,0.477,12,33.7,0.357,30.2,55,0.55,18.7,23.6,0.795,10.7,34.7,45.5,25.5,6.9,5.7,14.1,20,115.3
Washington Wizards,19755,42.9,90.8,0.473,12.1,33.1,0.366,30.8,57.6,0.534,17.7,22.1,0.798,10.9,32.6,43.5,25.1,7.2,5,12.4,19.6,115.6
Atlanta Hawks,19855,43.1,88.8,0.486,11.8,33,0.356,31.4,55.8,0.562,18.3,22.8,0.803,10.4,33,43.4,25.6,7.4,5,13.9,19.4,116.3
Dallas Mavericks,19930,42.7,88.1,0.485,11.4,32.4,0.352,31.3,55.7,0.562,19.9,25.5,0.781,10.4,35.4,45.7,25.5,6.5,3.9,13.4,22.3,116.7
Utah Jazz,19805,42.9,90.6,0.473,12.3,34.1,0.361,30.5,56.5,0.54,18.6,24,0.776,11.1,31.9,43,24.7,7.7,4.9,12.4,20.2,116.7
Sacramento Kings,19830,43.3,87.9,0.492,12.3,33.1,0.373,31,54.9,0.564,17.9,22.7,0.787,9.6,32.2,41.7,26.4,7.2,4.1,14.1,20.6,116.8
Indiana Pacers,19755,42.6,88,0.485,12.2,32.8,0.373,30.4,55.2,0.551,20.2,25.2,0.8,11.9,32.7,44.6,26,7.8,5.3,14.8,19.9,117.7
Portland Trail Blazers,19730,43.5,88.6,0.491,12.7,33.5,0.379,30.8,55,0.559,19.2,24.4,0.787,10.6,33.2,43.7,27.3,7.9,4.3,13.7,20.7,118.8
