Team,OTS MP,OTS FG,OTS FGA,OTS FG%,OTS 3P,OTS 3PA,OTS 3P%,OTS 2P,OTS 2PA,OTS 2P%,OTS FT,OTS FTA,OTS FT%,OTS ORB,OTS DRB,OTS TRB,OTS AST,OTS STL,OTS BLK,OTS TOV,OTS PF,OTS PTS
Cleveland Cavaliers,19880,3201,6847,0.468,924,2508,0.368,2277,4339,0.525,1438,1838,0.782,801,2580,3381,1888,575,360,1284,1675,8764
Miami Heat,19805,3288,6822,0.482,1077,2933,0.367,2211,3889,0.569,1350,1728,0.781,729,2702,3431,2097,571,309,1288,1643,9003
Philadelphia 76ers,19880,3312,7005,0.473,952,2735,0.348,2360,4270,0.553,1518,1943,0.781,782,2593,3375,1986,540,380,1171,1607,9094
Toronto Raptors,19805,3312,6752,0.491,1001,2676,0.374,2311,4076,0.567,1508,1893,0.797,757,2709,3466,2148,492,376,1367,1604,9133
Boston Celtics,19980,3425,7394,0.463,954,2763,0.345,2471,4631,0.534,1332,1733,0.769,799,2810,3609,1895,544,318,1040,1568,9136
Phoenix Suns,19780,3280,7044,0.466,938,2628,0.357,2342,4416,0.53,1651,2101,0.786,840,2676,3516,1915,588,327,1183,1629,9149
Chicago Bulls,19905,3339,7142,0.468,1086,3042,0.357,2253,4100,0.55,1406,1806,0.779,791,2763,3554,2131,546,389,1234,1537,9170
Denver Nuggets,19755,3423,7166,0.478,933,2711,0.344,2490,4455,0.559,1443,1861,0.775,832,2516,3348,2105,646,344,1105,1601,9222
New Orleans Pelicans,19855,3357,7105,0.472,1002,2953,0.339,2355,4152,0.567,1507,1935,0.779,792,2634,3426,2044,600,386,1228,1673,9223
Brooklyn Nets,19730,3360,7257,0.463,968,2640,0.367,2392,4617,0.518,1537,2003,0.767,943,2758,3701,1916,575,317,1126,1517,9225
Memphis Grizzlies,19780,3340,7365,0.453,1065,2998,0.355,2275,4367,0.521,1519,1931,0.787,902,2738,3640,2167,559,427,1240,1644,9264
Los Angeles Clippers,19830,3430,7243,0.474,1000,2738,0.365,2430,4505,0.539,1413,1832,0.771,838,2699,3537,2048,640,343,1065,1607,9273
New York Knicks,19955,3343,7229,0.462,1068,2992,0.357,2275,4237,0.537,1520,1943,0.782,830,2617,3447,2062,496,370,1044,1694,9274
Milwaukee Bucks,19830,3483,7644,0.456,991,2799,0.354,2492,4845,0.514,1334,1719,0.776,879,2744,3623,1963,578,323,970,1557,9291
Orlando Magic,19780,3389,7127,0.476,1064,3030,0.351,2325,4097,0.567,1504,1890,0.796,779,2669,3448,2122,634,415,1204,1681,9346
Dallas Mavericks,19930,3425,7065,0.485,913,2596,0.352,2512,4469,0.562,1597,2046,0.781,830,2838,3668,2044,522,312,1075,1789,9360
Washington Wizards,19755,3481,7363,0.473,984,2688,0.366,2497,4675,0.534,1432,1794,0.798,883,2645,3528,2035,581,406,1008,1590,9378
Minnesota Timberwolves,19830,3428,7277,0.471,1007,2728,0.369,2421,4549,0.532,1634,2133,0.766,928,2734,3662,2051,674,336,1262,1654,9497
Oklahoma City Thunder,19855,3437,7252,0.474,1059,2955,0.358,2378,4297,0.553,1611,2090,0.771,982,2841,3823,2126,572,454,1375,1675,9544
Los Angeles Lakers,19880,3607,7698,0.469,1028,2991,0.344,2579,4707,0.548,1319,1706,0.773,908,2770,3678,2104,624,416,1035,1760,9561
Golden State Warriors,19830,3478,7423,0.469,1060,2915,0.364,2418,4508,0.536,1589,2067,0.769,880,2673,3553,2110,646,326,1172,1510,9605
Charlotte Hornets,19830,3522,7391,0.477,1004,2812,0.357,2518,4579,0.55,1562,1965,0.795,895,2892,3787,2127,573,471,1177,1667,9610
Portland Trail Blazers,19730,3522,7176,0.491,1029,2717,0.379,2493,4459,0.559,1555,1977,0.787,857,2686,3543,2214,640,352,1108,1679,9628
Utah Jazz,19805,3555,7515,0.473,1023,2830,0.361,2532,4685,0.54,1544,1989,0.776,919,2644,3563,2047,639,405,1030,1679,9677
Sacramento Kings,19830,3589,7288,0.492,1022,2740,0.373,2567,4548,0.564,1481,1882,0.787,795,2665,3460,2187,598,341,1165,1711,9681
Atlanta Hawks,19855,3592,7398,0.486,979,2748,0.356,2613,4650,0.562,1524,1899,0.803,866,2751,3617,2131,616,414,1162,1612,9687
Detroit Pistons,19805,3533,7222,0.489,984,2732,0.36,2549,4490,0.568,1669,2149,0.777,901,2767,3668,2112,631,453,1108,1718,9719
Houston Rockets,19755,3480,7226,0.482,1189,3183,0.374,2291,4043,0.567,1576,1986,0.794,861,2543,3404,2143,718,509,1079,1692,9725
Indiana Pacers,19755,3549,7323,0.485,1019,2733,0.373,2530,4590,0.551,1679,2100,0.8,993,2721,3714,2163,650,438,1235,1660,9796
San Antonio Spurs,19855,3780,7460,0.507,1036,2651,0.391,2744,4809,0.571,1496,1942,0.77,877,2811,3688,2198,665,431,1135,1516,10092
League Average,19828,3442,7241,0.475,1012,2806,0.361,2430,4435,0.548,1508,1929,0.782,856,2706,3562,2076,598,382,1156,1638,9404
