Team,ADV W,ADV L,ADV PW,ADV PL,ADV MOV,ADV SOS,ADV SRS,ADV ORtg,ADV DRtg,ADV NRtg,ADV Pace,ADV FTr,ADV 3PAr,ADV TS%,ADV OFF eFG%,ADV OFF TOV%,ADV OFF ORB%,ADV OFF FT/FGA,ADV DFF eFG%,ADV DFF TOV%,ADV DFF DRB%,ADV DFF FT/FGA,ADV Attend.,ADV Attend./G
Boston Celtics,57,25,57,25,6.52,-0.15,6.38,118,111.5,6.5,98.5,0.243,0.48,0.6,0.566,12,22.1,0.197,0.528,11.3,78.5,0.18,766240,18689
Cleveland Cavaliers,51,31,55,27,5.38,-0.15,5.23,116.1,110.6,5.5,95.7,0.264,0.371,0.59,0.556,12.3,23.6,0.206,0.535,14.4,76.3,0.21,777280,18958
Philadelphia 76ers,54,28,52,30,4.32,0.06,4.37,117.7,113.3,4.4,96.9,0.3,0.389,0.608,0.563,12.6,21.6,0.25,0.541,13,77.2,0.217,839261,20470
Memphis Grizzlies,51,31,51,31,3.94,-0.34,3.6,115.1,111.2,3.9,101.1,0.259,0.372,0.57,0.54,11.7,26.5,0.19,0.526,13.1,75.9,0.206,707836,17264
Milwaukee Bucks,58,24,50,32,3.63,-0.02,3.61,115.4,111.9,3.5,100.5,0.248,0.446,0.583,0.555,12.7,25,0.184,0.52,10.4,77.8,0.175,718786,17531
Denver Nuggets,53,29,49,33,3.33,-0.29,3.04,117.6,114.2,3.4,98.1,0.259,0.361,0.601,0.573,13.1,24.8,0.194,0.543,12.2,76.4,0.201,788635,19235
New York Knicks,47,35,48,34,2.93,0.06,2.99,117.8,114.8,3,97.1,0.285,0.4,0.577,0.541,11.4,28.3,0.217,0.536,11.4,77.1,0.21,795110,19393
Sacramento Kings,48,34,47,35,2.65,-0.35,2.3,119.4,116.8,2.6,100.3,0.284,0.423,0.608,0.572,12,22.7,0.225,0.563,12.6,77.2,0.203,715491,17451
Phoenix Suns,45,37,46,36,2.07,0.01,2.08,115.1,113,2.1,98.2,0.241,0.362,0.57,0.535,12,26.6,0.191,0.532,12.9,76,0.234,699911,17071
New Orleans Pelicans,42,40,46,36,1.89,-0.26,1.63,114.4,112.5,1.9,99.1,0.279,0.344,0.582,0.543,12.9,24.7,0.221,0.543,13.4,77.4,0.212,687691,16773
